Time_s,Probe1_Elevation_m,Probe2_Elevation_m,Probe3_Elevation_m
0,-1.2447013352712,0.089498637517293,-1.85327083985011
0.2,-1.2447013352712,-0.117402912775676,-1.91764099518458
0.4,-1.16342730267843,-0.260519863764445,-1.68662197510401
0.6,-1.05542368634542,-0.365055920283,-1.62280399719874
0.8,-0.947837779362997,-0.707418324152629,-1.14270908753077
1,-0.800573298772177,-0.747179867426555,-0.992890667120616
1.2,-0.707267711003622,-0.747179867426555,-0.980442356268565
1.4,-0.548042247136435,-0.800288082758586,-0.868689846197764
1.6,-0.284675547917685,-0.906792523066203,-0.881079029242198
1.8,-0.0887908433278408,-0.893457295099894,-0.683473896185557
2,-0.0108279679616299,-0.906792523066203,-0.548473667303721
2.2,0.0151119734446201,-1.01368034044902,-0.42634804169337
2.4,0.0151119734446201,-1.25562656084696,-0.292666744391124
2.6,0.0280695463816318,-1.32319247881571,-0.304792713324229
2.8,0.0410252119700107,-1.4044731871287,-0.0753911248842876
3,0.0927811171213779,-1.43161571184794,0.008618045647939
3.2,0.18311791674296,-1.51319968859355,-0.0273507348696391
3.4,0.285997440973917,-1.62232864061991,-0.0153525582949321
3.6,0.375700047175089,-1.64967429796855,0.0325705297787984
3.8,0.630378773371378,-1.75930869738261,-0.00336296478907272
4,0.945392658869425,-1.80052459398905,-0.123517345587413
4.2,1.23199277178446,-1.78677928606669,-0.195873569647471
4.4,1.46646123186747,-1.5813587919871,-0.207952808539073
4.6,1.62570958391825,-1.18821895281474,-0.123517345587413
4.8,1.71106152788798,-0.986923100153605,-0.00336296478907272
5,1.74756055132548,-0.853493572870891,0.19961803038915
5.2,1.60127072588603,-0.787003399531047,0.282739330132802
5.4,1.31861500994364,-0.391247631708781,0.341951061089834
5.6,1.05790143267314,0.473462222417195,0.459960628350576
5.8,0.870121052424112,0.638252375920613,0.530504871209462
6,0.718952229181925,0.650889514287313,0.542244602044423
6.2,0.643049290339151,0.638252375920613,0.589146304925283
6.4,0.566928913752237,0.650889514287313,0.612565685113271
6.6,0.490598728815714,0.789523242314656,0.740987468560537
6.8,0.426826527277628,1.66829025586446,0.949744869073232
7,0.311658909479776,1.85046493848165,1.12241237243017
7.2,0.18311791674296,1.92300140698751,1.09945838530858
7.4,0.0410252119700107,1.91092979749044,1.01895492156347
7.6,-0.0757855866750088,1.98330986340841,0.915071178277334
7.8,-0.166980693181356,1.88676178296407,0.706028629144033
8,-0.234479853947958,1.82549774487813,0.576440502007802
8.2,-0.286857554753622,1.88601219495138,0.435426402886709
8.4,-0.352475116093954,1.75271141370138,0.576440502007802
8.6,-0.431423137029013,1.63097679456075,0.646664310296376
8.8,-0.497385928471884,1.33662330945333,0.599876094659169
9,-0.563504168828329,1.11381351788839,0.599876094659169
9.2,-0.576744029362997,1.02668678601583,0.623275447686513
9.4,-0.589994380315146,0.788825152715047,0.599876094659169
9.6,-0.616509387334188,0.700696109135945,0.588160205682119
9.8,-0.643053004582724,0.599625705083211,0.32914798339208
10,-0.656334826787313,0.255855677922566,0.234306979974111
10.2,-0.669622371037802,0.0759564622243243,0.0794522054990132
10.4,-0.722831675847372,-0.0791424528757734,0.0196453817685445
10.6,-0.816202113469442,-0.157011868158976,-0.184748958746592
10.8,-0.923292109807333,-0.418094517389934,-0.549401592413584
11,-1.09819788678487,-0.628672482172648,-0.770656894842784
